ad hoc	ad hoc	adj:sg:loc:n
ad hoc	ad hoc	adj:pl:loc:m3
ad hoc	ad hoc	adj:pl:loc:f
ad hoc	ad hoc	adj:pl:loc:n
ad hoc	ad hoc	adj:sg:voc:m3
ad hoc	ad hoc	adj:sg:voc:f
ad hoc	ad hoc	adj:sg:voc:n
ad hoc	ad hoc	adj:pl:voc:m3
ad hoc	ad hoc	adj:pl:voc:f
ad hoc	ad hoc	adj:pl:voc:n
adres bibliograficzny	adres bibliograficzny	subst:sg:nom:m3
adresy bibliograficzne	adres bibliograficzny	subst:pl:nom:m3
adresu bibliograficznego	adres bibliograficzny	subst:sg:gen:m3
adresów bibliograficznych	adres bibliograficzny	subst:pl:gen:m3
adresowi bibliograficznemu	adres bibliograficzny	subst:sg:dat:m3
adresom bibliograficznym	adres bibliograficzny	subst:pl:dat:m3
adres bibliograficzny	adres bibliograficzny	subst:sg:acc:m3
adresy bibliograficzne	adres bibliograficzny	subst:pl:acc:m3
adresem bibliograficznym	adres bibliograficzny	subst:sg:inst:m3
adresami bibliograficznymi	adres bibliograficzny	subst:pl:inst:m3
adresie bibliograficznym	adres bibliograficzny	subst:sg:loc:m3
adresach bibliograficznych	adres bibliograficzny	subst:pl:loc:m3
adresie bibliograficzny	adres bibliograficzny	subst:sg:voc:m3
adresy bibliograficzne	adres bibliograficzny	subst:pl:voc:m3
adres wydawniczy	adres wydawniczy	subst:sg:nom:m3
adresy wydawnicze	adres wydawniczy	subst:pl:nom:m3
adresu wydawniczego	adres wydawniczy	subst:sg:gen:m3
adresów wydawniczych	adres wydawniczy	subst:pl:gen:m3
adresowi wydawniczemu	adres wydawniczy	subst:sg:dat:m3
adresom wydawniczym	adres wydawniczy	subst:pl:dat:m3
adres wydawniczy	adres wydawniczy	subst:sg:acc:m3
adresy wydawnicze	adres wydawniczy	subst:pl:acc:m3
adresem wydawniczym	adres wydawniczy	subst:sg:inst:m3
adresami wydawniczymi	adres wydawniczy	subst:pl:inst:m3
adresie wydawniczym	adres wydawniczy	subst:sg:loc:m3
adresach wydawniczych	adres wydawniczy	subst:pl:loc:m3
adresie wydawniczy	adres wydawniczy	subst:sg:voc:m3
adresy wydawnicze	adres wydawniczy	subst:pl:voc:m3
ad vocem	ad vocem	subst:sg:nom:n
ad vocem	ad vocem	subst:pl:nom:n
ad vocem	ad vocem	subst:sg:gen:n
ad vocem	ad vocem	subst:pl:gen:n
ad vocem	ad vocem	subst:sg:dat:n
ad vocem	ad vocem	subst:pl:dat:n
ad vocem	ad vocem	subst:sg:acc:n
ad vocem	ad vocem	subst:pl:acc:n
ad vocem	ad vocem	subst:sg:inst:n
ad vocem	ad vocem	subst:pl:inst:n
ad vocem	ad vocem	subst:sg:loc:n
ad vocem	ad vocem	subst:pl:loc:n
ad vocem	ad vocem	subst:sg:voc:n
ad vocem	ad vocem	subst:pl:voc:n
adwokat diabła	adwokat diabła	subst:sg:nom:m1
adwokaci diabła	adwokat diabła	subst:pl:nom:m1
adwokata diabła	adwokat diabła	subst:sg:gen:m1
adwokatów diabła	adwokat diabła	subst:pl:gen:m1
adwokatowi diabła	adwokat diabła	subst:sg:dat:m1
adwokatom diabła	adwokat diabła	subst:pl:dat:m1
adwokata diabła	adwokat diabła	subst:sg:acc:m1
adwokatów diabła	adwokat diabła	subst:pl:acc:m1
adwokatem diabła	adwokat diabła	subst:sg:inst:m1
adwokatami diabła	adwokat diabła	subst:pl:inst:m1
adwokacie diabła	adwokat diabła	subst:sg:loc:m1
adwokatach diabła	adwokat diabła	subst:pl:loc:m1
adwokacie diabła	adwokat diabła	subst:sg:voc:m1
adwokaci diabła	adwokat diabła	subst:pl:voc:m1
afazja amnestyczna	afazja amnestyczna	subst:sg:nom:f
afazje amnestyczne	afazja amnestyczna	subst:pl:nom:f
afazji amnestycznej	afazja amnestyczna	subst:sg:gen:f
afazyj amnestycznych	afazja amnestyczna	subst:pl:gen:f
afazji amnestycznych	afazja amnestyczna	subst:pl:gen:f
afazji amnestycznej	afazja amnestyczna	subst:sg:dat:f
afazjom amnestycznym	afazja amnestyczna	subst:pl:dat:f
afazję amnestyczną	afazja amnestyczna	subst:sg:acc:f
afazje amnestyczne	afazja amnestyczna	subst:pl:acc:f
afazją amnestyczną	afazja amnestyczna	subst:sg:inst:f
afazjami amnestycznymi	afazja amnestyczna	subst:pl:inst:f
afazji amnestycznej	afazja amnestyczna	subst:sg:loc:f
afazjach amnestycznych	afazja amnestyczna	subst:pl:loc:f
afazjo amnestyczna	afazja amnestyczna	subst:sg:voc:f
afazje amnestyczne	afazja amnestyczna	subst:pl:voc:f
Afryka Północna	Afryka Północna	subst:sg:nom:f
Afryki Północnej	Afryka Północna	subst:sg:gen:f
Afryce Północnej	Afryka Północna	subst:sg:dat:f
Afrykę Północną	Afryka Północna	subst:sg:acc:f
Afryką Północną	Afryka Północna	subst:sg:inst:f
Afryce Północnej	Afryka Północna	subst:sg:loc:f
Afryko Północna	Afryka Północna	subst:sg:voc:f
Afryka Północno-Wschodnia	Afryka Północno-Wschodnia	subst:nom:f
Afryki Północno-Wschodniej	Afryka Północno-Wschodnia	subst:gen:f
Afryce Północno-Wschodniej	Afryka Północno-Wschodnia	subst:dat:f
Afrykę Północno-Wschodnią	Afryka Północno-Wschodnia	subst:acc:f
Afryką Północno-Wschodnią	Afryka Północno-Wschodnia	subst:inst:f
Afryce Północno-Wschodniej	Afryka Północno-Wschodnia	subst:loc:f
Afryko Północno-Wschodnia	Afryka Północno-Wschodnia	subst:voc:f
Afryka Południowa	Afryka Południowa	subst:sg:nom:f
Afryki Południowej	Afryka Południowa	subst:sg:gen:f
Afryce Południowej	Afryka Południowa	subst:sg:dat:f
Afrykę Południową	Afryka Południowa	subst:sg:acc:f
Afryką Południową	Afryka Południowa	subst:sg:inst:f
Afryce Południowej	Afryka Południowa	subst:sg:loc:f
Afryko Południowa	Afryka Południowa	subst:sg:voc:f
Afryka Środkowa	Afryka Środkowa	subst:sg:nom:f
Afryki Środkowej	Afryka Środkowa	subst:sg:gen:f
Afryce Środkowej	Afryka Środkowa	subst:sg:dat:f
Afrykę Środkową	Afryka Środkowa	subst:sg:acc:f
Afryką Środkową	Afryka Środkowa	subst:sg:inst:f
Afryce Środkowej	Afryka Środkowa	subst:sg:loc:f
Afryko Środkowa	Afryka Środkowa	subst:sg:voc:f
Afryka Wschodnia	Afryka Wschodnia	subst:sg:nom:f
Afryki Wschodniej	Afryka Wschodnia	subst:sg:gen:f
Afryce Wschodniej	Afryka Wschodnia	subst:sg:dat:f
Afrykę Wschodnią	Afryka Wschodnia	subst:sg:acc:f
Afryką Wschodnią	Afryka Wschodnia	subst:sg:inst:f
Afryce Wschodniej	Afryka Wschodnia	subst:sg:loc:f
Afryko Wschodnia	Afryka Wschodnia	subst:sg:voc:f
Afryka Zachodnia	Afryka Zachodnia	subst:sg:nom:f
Afryki Zachodniej	Afryka Zachodnia	subst:sg:gen:f
Afryce Zachodniej	Afryka Zachodnia	subst:sg:dat:f
Afrykę Zachodnią	Afryka Zachodnia	subst:sg:acc:f
Afryką Zachodnią	Afryka Zachodnia	subst:sg:inst:f
Afryce Zachodniej	Afryka Zachodnia	subst:sg:loc:f
Afryko Zachodnia	Afryka Zachodnia	subst:sg:voc:f
agencja towarzyska	agencja towarzyska	subst:sg:nom:f
agencje towarzyskie	agencja towarzyska	subst:pl:nom:f
agencji towarzyskiej	agencja towarzyska	subst:sg:gen:f
agencyj towarzyskich	agencja towarzyska	subst:pl:gen:f
